DateTime,Flow,Speed
2019-12-03 11:34:00,3480.0,99.0
2019-12-03 11:40:00,3960.0,97.66666666666669
2019-12-03 11:46:00,3960.0,97.33333333333331
2019-12-03 11:51:00,4200.0,98.0
2019-12-03 11:57:00,4020.0,88.0
2019-12-03 12:03:00,2400.0,93.0
2019-12-03 12:09:00,4380.0,90.33333333333331
2019-12-03 12:14:00,3720.0,92.33333333333331
2019-12-03 12:22:00,3240.0,77.5
2019-12-03 12:28:00,3480.0,96.66666666666669
2019-12-03 12:34:00,3660.0,92.66666666666669
2019-12-03 12:40:00,4020.0,93.66666666666669
2019-12-03 12:45:00,3900.0,94.0
2019-12-03 12:51:00,4020.0,92.66666666666669
2019-12-03 12:57:00,4200.0,100.33333333333331
2019-12-03 13:03:00,2940.0,93.66666666666669
2019-12-03 13:09:00,4920.0,93.0
2019-12-03 13:14:00,3960.0,96.33333333333331
2019-12-03 13:20:00,4140.0,97.66666666666669
2019-12-03 13:26:00,3960.0,99.33333333333331
2019-12-03 13:32:00,4260.0,96.33333333333331
2019-12-03 13:38:00,4920.0,96.0
2019-12-03 13:43:00,4320.0,96.0
2019-12-03 13:49:00,5580.0,92.0
2019-12-03 13:55:00,4320.0,98.33333333333331
2019-12-03 14:01:00,4500.0,96.33333333333331
2019-12-03 14:07:00,6480.0,93.33333333333331
2019-12-03 14:12:00,4980.0,98.33333333333331
2019-12-03 14:18:00,4260.0,69.5
2019-12-03 14:24:00,5100.0,96.33333333333331
2019-12-03 14:30:00,5580.0,95.66666666666669
2019-12-03 14:36:00,5160.0,94.33333333333331
2019-12-03 14:41:00,6300.0,89.33333333333331
2019-12-03 14:47:00,6000.0,91.33333333333331
2019-12-03 14:53:00,5640.0,95.0
2019-12-03 14:59:00,1740.0,69.0
2019-12-03 15:04:00,2040.0,71.0
2019-12-03 15:10:00,5280.0,86.66666666666669
2019-12-03 15:16:00,5460.0,98.0
2019-12-03 15:22:00,4620.0,96.0
2019-12-03 15:28:00,1320.0,77.0
2019-12-03 15:33:00,1800.0,74.0
2019-12-03 15:39:00,3840.0,70.5
2019-12-03 15:45:00,2040.0,46.0
2019-12-03 15:51:00,5400.0,88.0
2019-12-03 15:57:00,1620.0,67.0
2019-12-03 16:02:00,1980.0,64.0
2019-12-03 16:08:00,4860.0,94.66666666666669
2019-12-03 16:14:00,4740.0,96.33333333333331
2019-12-03 16:20:00,1680.0,72.0
2019-12-03 16:26:00,3480.0,79.0
2019-12-03 16:31:00,4020.0,74.0
2019-12-03 16:37:00,4740.0,93.66666666666669
2019-12-03 16:43:00,3660.0,91.5
2019-12-03 16:49:00,3720.0,70.0
2019-12-03 16:55:00,3720.0,79.0
2019-12-03 17:00:00,4680.0,95.0
2019-12-03 17:06:00,6360.0,97.66666666666669
2019-12-03 17:12:00,4560.0,96.33333333333331
2019-12-03 17:18:00,4980.0,97.0
2019-12-03 17:23:00,4140.0,96.66666666666669
2019-12-03 17:29:00,4200.0,97.33333333333331
2019-12-03 17:35:00,2700.0,105.33333333333331
2019-12-03 17:41:00,3360.0,105.0
2019-12-03 17:47:00,3600.0,99.0
2019-12-03 17:52:00,4620.0,97.66666666666669
2019-12-03 17:58:00,3540.0,99.33333333333331
2019-12-03 18:04:00,6900.0,95.0
2019-12-03 18:10:00,4200.0,93.66666666666669
2019-12-03 18:16:00,3600.0,103.0
2019-12-03 18:21:00,3240.0,106.0
2019-12-03 18:27:00,2640.0,108.33333333333331
2019-12-03 18:33:00,2400.0,107.33333333333331
2019-12-03 18:39:00,2520.0,104.33333333333331
2019-12-03 18:45:00,2040.0,107.66666666666669
2019-12-03 18:50:00,1620.0,108.66666666666669
2019-12-03 18:56:00,2160.0,105.33333333333331
2019-12-03 19:02:00,2100.0,107.0
2019-12-03 19:08:00,2040.0,104.33333333333331
2019-12-03 19:13:00,2100.0,111.0
2019-12-03 19:19:00,1500.0,114.0
2019-12-03 19:25:00,2040.0,115.66666666666669
2019-12-03 19:31:00,1680.0,106.66666666666669
2019-12-03 19:37:00,1920.0,110.0
2019-12-03 19:42:00,1200.0,108.5
2019-12-03 19:48:00,1860.0,105.0
2019-12-03 19:54:00,1020.0,107.0
2019-12-03 20:00:00,1680.0,109.0
2019-12-03 20:06:00,1440.0,107.33333333333331
2019-12-03 20:11:00,1380.0,113.33333333333331
2019-12-03 20:17:00,1560.0,106.33333333333331
2019-12-03 20:23:00,1140.0,109.66666666666669
2019-12-03 20:29:00,2040.0,107.0
2019-12-03 20:35:00,2100.0,103.33333333333331
2019-12-03 20:40:00,1200.0,105.0
2019-12-03 20:46:00,1500.0,109.0
2019-12-03 20:52:00,1500.0,106.33333333333331
2019-12-03 20:58:00,1140.0,116.0
2019-12-03 21:03:00,1020.0,108.0
2019-12-03 21:09:00,2040.0,108.33333333333331
2019-12-03 21:15:00,1020.0,100.5
2019-12-03 21:21:00,1680.0,113.0
2019-12-03 21:27:00,840.0,106.0
2019-12-03 21:32:00,1440.0,107.0
2019-12-03 21:38:00,900.0,103.0
2019-12-03 21:44:00,1020.0,101.0
2019-12-03 21:50:00,1500.0,108.0
2019-12-03 21:56:00,1140.0,108.0
2019-12-03 22:01:00,480.0,108.0
2019-12-03 22:07:00,1200.0,106.0
2019-12-03 22:13:00,720.0,103.0
2019-12-03 22:19:00,840.0,109.0
2019-12-03 22:25:00,840.0,126.33333333333331
2019-12-03 22:30:00,1260.0,101.33333333333331
2019-12-03 22:36:00,1200.0,108.66666666666669
2019-12-03 22:42:00,600.0,93.0
2019-12-03 22:48:00,1200.0,105.33333333333331
2019-12-03 22:53:00,480.0,111.0
2019-12-03 22:59:00,960.0,104.0
2019-12-03 23:05:00,540.0,94.0
2019-12-03 23:11:00,420.0,121.66666666666669
2019-12-03 23:17:00,360.0,120.5
2019-12-03 23:22:00,360.0,98.5
2019-12-03 23:28:00,180.0,97.0
2019-12-03 23:34:00,660.0,101.5
2019-12-03 23:40:00,120.0,102.0
2019-12-03 23:46:00,420.0,105.5
2019-12-03 23:51:00,420.0,105.0
2019-12-03 23:57:00,540.0,99.0
