measurementpoint.flowvalue,measurementpoint.speedvalue,measurementpoint.ninputs,measurementpoint.sdeviation,measurementpoint.measurementdatetime,measurementpoint.reference
480.0,81.0,0.0,,2019-11-17 06:18:00,RWS01_MONIBAS_0021hrr0597ra
240.0,99.0,0.0,,2019-11-17 06:24:00,RWS01_MONIBAS_0021hrr0597ra
360.0,76.0,0.0,,2019-11-17 06:30:00,RWS01_MONIBAS_0021hrr0597ra
660.0,77.0,0.0,,2019-11-17 06:36:00,RWS01_MONIBAS_0021hrr0597ra
360.0,76.0,0.0,,2019-11-17 06:42:00,RWS01_MONIBAS_0021hrr0597ra
720.0,79.0,0.0,,2019-11-17 06:47:00,RWS01_MONIBAS_0021hrr0597ra
420.0,84.0,0.0,,2019-11-17 06:53:00,RWS01_MONIBAS_0021hrr0597ra
900.0,88.5,0.0,,2019-11-17 06:59:00,RWS01_MONIBAS_0021hrr0597ra
240.0,75.0,0.0,,2019-11-17 07:05:00,RWS01_MONIBAS_0021hrr0597ra
660.0,85.0,0.0,,2019-11-17 07:11:00,RWS01_MONIBAS_0021hrr0597ra
900.0,102.0,0.0,,2019-11-17 07:17:00,RWS01_MONIBAS_0021hrr0597ra
600.0,99.0,0.0,,2019-11-17 07:22:00,RWS01_MONIBAS_0021hrr0597ra
840.0,104.5,0.0,,2019-11-17 07:28:00,RWS01_MONIBAS_0021hrr0597ra
420.0,111.0,0.0,,2019-11-17 07:34:00,RWS01_MONIBAS_0021hrr0597ra
720.0,104.0,0.0,,2019-11-17 07:40:00,RWS01_MONIBAS_0021hrr0597ra
1200.0,99.5,0.0,,2019-11-17 07:46:00,RWS01_MONIBAS_0021hrr0597ra
1200.0,108.0,0.0,,2019-11-17 07:51:00,RWS01_MONIBAS_0021hrr0597ra
1080.0,98.5,0.0,,2019-11-17 07:57:00,RWS01_MONIBAS_0021hrr0597ra
1200.0,98.5,0.0,,2019-11-17 08:03:00,RWS01_MONIBAS_0021hrr0597ra
1200.0,101.66666666666667,0.0,,2019-11-17 08:09:00,RWS01_MONIBAS_0021hrr0597ra
1260.0,99.0,0.0,,2019-11-17 08:15:00,RWS01_MONIBAS_0021hrr0597ra
1440.0,101.66666666666667,0.0,,2019-11-17 08:20:00,RWS01_MONIBAS_0021hrr0597ra
1620.0,107.0,0.0,,2019-11-17 08:26:00,RWS01_MONIBAS_0021hrr0597ra
1620.0,102.33333333333333,0.0,,2019-11-17 08:32:00,RWS01_MONIBAS_0021hrr0597ra
1800.0,102.0,0.0,,2019-11-17 08:38:00,RWS01_MONIBAS_0021hrr0597ra
1980.0,104.33333333333333,0.0,,2019-11-17 08:44:00,RWS01_MONIBAS_0021hrr0597ra
1980.0,102.0,0.0,,2019-11-17 08:49:00,RWS01_MONIBAS_0021hrr0597ra
2280.0,107.33333333333333,0.0,,2019-11-17 08:55:00,RWS01_MONIBAS_0021hrr0597ra
1740.0,99.5,0.0,,2019-11-17 09:01:00,RWS01_MONIBAS_0021hrr0597ra
2580.0,101.66666666666667,0.0,,2019-11-17 09:07:00,RWS01_MONIBAS_0021hrr0597ra
2760.0,100.0,0.0,,2019-11-17 09:13:00,RWS01_MONIBAS_0021hrr0597ra
2580.0,98.66666666666667,0.0,,2019-11-17 09:19:00,RWS01_MONIBAS_0021hrr0597ra
3240.0,100.33333333333333,0.0,,2019-11-17 09:24:00,RWS01_MONIBAS_0021hrr0597ra
2580.0,99.33333333333333,0.0,,2019-11-17 09:30:00,RWS01_MONIBAS_0021hrr0597ra
3300.0,100.0,0.0,,2019-11-17 09:36:00,RWS01_MONIBAS_0021hrr0597ra
3180.0,101.0,0.0,,2019-11-17 09:42:00,RWS01_MONIBAS_0021hrr0597ra
2280.0,104.0,0.0,,2019-11-17 09:48:00,RWS01_MONIBAS_0021hrr0597ra
2400.0,105.0,0.0,,2019-11-17 09:54:00,RWS01_MONIBAS_0021hrr0597ra
2460.0,110.33333333333333,0.0,,2019-11-17 09:59:00,RWS01_MONIBAS_0021hrr0597ra
3060.0,100.33333333333333,0.0,,2019-11-17 10:05:00,RWS01_MONIBAS_0021hrr0597ra
2640.0,97.0,0.0,,2019-11-17 10:11:00,RWS01_MONIBAS_0021hrr0597ra
2520.0,99.33333333333333,0.0,,2019-11-17 10:17:00,RWS01_MONIBAS_0021hrr0597ra
2640.0,103.66666666666667,0.0,,2019-11-17 10:23:00,RWS01_MONIBAS_0021hrr0597ra
4500.0,98.0,0.0,,2019-11-17 10:28:00,RWS01_MONIBAS_0021hrr0597ra
3060.0,103.0,0.0,,2019-11-17 10:34:00,RWS01_MONIBAS_0021hrr0597ra
2580.0,101.0,0.0,,2019-11-17 10:40:00,RWS01_MONIBAS_0021hrr0597ra
3120.0,99.33333333333333,0.0,,2019-11-17 10:46:00,RWS01_MONIBAS_0021hrr0597ra
2940.0,102.0,0.0,,2019-11-17 10:52:00,RWS01_MONIBAS_0021hrr0597ra
3120.0,98.66666666666667,0.0,,2019-11-17 10:57:00,RWS01_MONIBAS_0021hrr0597ra
3420.0,102.33333333333333,0.0,,2019-11-17 11:03:00,RWS01_MONIBAS_0021hrr0597ra
2580.0,102.0,0.0,,2019-11-17 11:09:00,RWS01_MONIBAS_0021hrr0597ra
3720.0,99.0,0.0,,2019-11-17 11:15:00,RWS01_MONIBAS_0021hrr0597ra
3600.0,101.66666666666667,0.0,,2019-11-17 11:21:00,RWS01_MONIBAS_0021hrr0597ra
2640.0,102.0,0.0,,2019-11-17 11:26:00,RWS01_MONIBAS_0021hrr0597ra
2700.0,106.0,0.0,,2019-11-17 11:32:00,RWS01_MONIBAS_0021hrr0597ra
2520.0,100.33333333333333,0.0,,2019-11-17 11:38:00,RWS01_MONIBAS_0021hrr0597ra
2220.0,103.66666666666667,0.0,,2019-11-17 11:44:00,RWS01_MONIBAS_0021hrr0597ra
3300.0,100.0,0.0,,2019-11-17 11:50:00,RWS01_MONIBAS_0021hrr0597ra
2880.0,98.66666666666667,0.0,,2019-11-17 11:56:00,RWS01_MONIBAS_0021hrr0597ra
4020.0,101.33333333333333,0.0,,2019-11-17 12:01:00,RWS01_MONIBAS_0021hrr0597ra
2460.0,112.0,0.0,,2019-11-17 12:07:00,RWS01_MONIBAS_0021hrr0597ra
2820.0,102.0,0.0,,2019-11-17 12:13:00,RWS01_MONIBAS_0021hrr0597ra
2700.0,100.33333333333333,0.0,,2019-11-17 12:19:00,RWS01_MONIBAS_0021hrr0597ra
3300.0,103.33333333333333,0.0,,2019-11-17 12:25:00,RWS01_MONIBAS_0021hrr0597ra
3960.0,99.0,0.0,,2019-11-17 12:30:00,RWS01_MONIBAS_0021hrr0597ra
2880.0,96.66666666666667,0.0,,2019-11-17 12:36:00,RWS01_MONIBAS_0021hrr0597ra
3240.0,101.0,0.0,,2019-11-17 12:42:00,RWS01_MONIBAS_0021hrr0597ra
3660.0,97.66666666666667,0.0,,2019-11-17 12:48:00,RWS01_MONIBAS_0021hrr0597ra
3480.0,103.33333333333333,0.0,,2019-11-17 12:54:00,RWS01_MONIBAS_0021hrr0597ra
3600.0,101.33333333333333,0.0,,2019-11-17 12:59:00,RWS01_MONIBAS_0021hrr0597ra
3540.0,98.33333333333333,0.0,,2019-11-17 13:05:00,RWS01_MONIBAS_0021hrr0597ra
3180.0,102.0,0.0,,2019-11-17 13:11:00,RWS01_MONIBAS_0021hrr0597ra
3120.0,98.66666666666667,0.0,,2019-11-17 13:17:00,RWS01_MONIBAS_0021hrr0597ra
3720.0,101.33333333333333,0.0,,2019-11-17 13:23:00,RWS01_MONIBAS_0021hrr0597ra
3480.0,103.0,0.0,,2019-11-17 13:28:00,RWS01_MONIBAS_0021hrr0597ra
2640.0,104.66666666666667,0.0,,2019-11-17 13:34:00,RWS01_MONIBAS_0021hrr0597ra
3840.0,98.66666666666667,0.0,,2019-11-17 13:40:00,RWS01_MONIBAS_0021hrr0597ra
3060.0,106.33333333333333,0.0,,2019-11-17 13:46:00,RWS01_MONIBAS_0021hrr0597ra
3120.0,102.0,0.0,,2019-11-17 13:52:00,RWS01_MONIBAS_0021hrr0597ra
3240.0,99.33333333333333,0.0,,2019-11-17 13:58:00,RWS01_MONIBAS_0021hrr0597ra
3000.0,101.0,0.0,,2019-11-17 14:03:00,RWS01_MONIBAS_0021hrr0597ra
3180.0,100.0,0.0,,2019-11-17 14:09:00,RWS01_MONIBAS_0021hrr0597ra
2760.0,99.66666666666667,0.0,,2019-11-17 14:15:00,RWS01_MONIBAS_0021hrr0597ra
